YEAR,SITE,DETERMINAND,ANNUAL_AVG_ABUNDANCE
1943,Windermere (North),Perca fluviatilis,90.22
1944,Windermere (North),Perca fluviatilis,58.59
1945,Windermere (North),Perca fluviatilis,59.25
1946,Windermere (North),Perca fluviatilis,62.72
1947,Windermere (North),Perca fluviatilis,19.9
1948,Windermere (North),Perca fluviatilis,29.42
1949,Windermere (North),Perca fluviatilis,6.2
1950,Windermere (North),Perca fluviatilis,5.82
1951,Windermere (North),Perca fluviatilis,17.64
1952,Windermere (North),Perca fluviatilis,7.84
1953,Windermere (North),Perca fluviatilis,13.1
1954,Windermere (North),Perca fluviatilis,9.25
1955,Windermere (North),Perca fluviatilis,6.26
1959,Windermere (North),Perca fluviatilis,14.12
1960,Windermere (North),Perca fluviatilis,53.63
1961,Windermere (North),Perca fluviatilis,47.07
1962,Windermere (North),Perca fluviatilis,99.03
1963,Windermere (North),Perca fluviatilis,89.37
1964,Windermere (North),Perca fluviatilis,53.6
1965,Windermere (North),Perca fluviatilis,28.87
1966,Windermere (North),Perca fluviatilis,28.23
1967,Windermere (North),Perca fluviatilis,14.27
1968,Windermere (North),Perca fluviatilis,19.23
1969,Windermere (North),Perca fluviatilis,24.67
1970,Windermere (North),Perca fluviatilis,45
1971,Windermere (North),Perca fluviatilis,38.37
1973,Windermere (North),Perca fluviatilis,34.5
1974,Windermere (North),Perca fluviatilis,30.47
1975,Windermere (North),Perca fluviatilis,32.47
1976,Windermere (North),Perca fluviatilis,37.23
1977,Windermere (North),Perca fluviatilis,3.9
1978,Windermere (North),Perca fluviatilis,9.6
1979,Windermere (North),Perca fluviatilis,5.6
1980,Windermere (North),Perca fluviatilis,26.4
1981,Windermere (North),Perca fluviatilis,8.87
1982,Windermere (North),Perca fluviatilis,38.7
1983,Windermere (North),Perca fluviatilis,13.47
1984,Windermere (North),Perca fluviatilis,21.13
1985,Windermere (North),Perca fluviatilis,2.73
1986,Windermere (North),Perca fluviatilis,25.6
1987,Windermere (North),Perca fluviatilis,19.77
1988,Windermere (North),Perca fluviatilis,20.63
1989,Windermere (North),Perca fluviatilis,37.73
1990,Windermere (North),Perca fluviatilis,29.1
1993,Windermere (North),Perca fluviatilis,33.27
1994,Windermere (North),Perca fluviatilis,16.33
1995,Windermere (North),Perca fluviatilis,19.3
1996,Windermere (North),Perca fluviatilis,79.67
1997,Windermere (North),Perca fluviatilis,55.17
1998,Windermere (North),Perca fluviatilis,22.3
1999,Windermere (North),Perca fluviatilis,25.13
2000,Windermere (North),Perca fluviatilis,13.8
2001,Windermere (North),Perca fluviatilis,43.3
2002,Windermere (North),Perca fluviatilis,27.83
2003,Windermere (North),Perca fluviatilis,4.63
2004,Windermere (North),Perca fluviatilis,17.36
2005,Windermere (North),Perca fluviatilis,3.77
2006,Windermere (North),Perca fluviatilis,23.47
2007,Windermere (North),Perca fluviatilis,72.23
2008,Windermere (North),Perca fluviatilis,45.37
2009,Windermere (North),Perca fluviatilis,41.33
2010,Windermere (North),Perca fluviatilis,30.07
2011,Windermere (North),Perca fluviatilis,28.3
2012,Windermere (North),Perca fluviatilis,16.17
